"","capital","capitalLabel","coordinate_location","capital_of","capital_ofLabel","country","countryLabel"
"178","http://www.wikidata.org/entity/Q52101","Middelburg","Point(3.61389 51.5)","http://www.wikidata.org/entity/Q705","Zeeland","http://www.wikidata.org/entity/Q55","Netherlands"
"179","http://www.wikidata.org/entity/Q56037","East Berlin","Point(13.404444444 52.518611111)","http://www.wikidata.org/entity/Q16957","East Germany","http://www.wikidata.org/entity/Q16957","East Germany"
"180","http://www.wikidata.org/entity/Q63896","Delémont","Point(7.347222222 47.365277777)","http://www.wikidata.org/entity/Q12755","Canton of Jura","http://www.wikidata.org/entity/Q39","Switzerland"
"181","http://www.wikidata.org/entity/Q63896","Delémont","Point(7.347222222 47.365277777)","http://www.wikidata.org/entity/Q659702","Delémont District","http://www.wikidata.org/entity/Q39","Switzerland"
"182","http://www.wikidata.org/entity/Q63964","Sarnen","Point(8.246944444 46.896944444)","http://www.wikidata.org/entity/Q12573","Obwalden","http://www.wikidata.org/entity/Q39","Switzerland"
"183","http://www.wikidata.org/entity/Q66485","Jaipur","Point(75.866666666 26.916666666)","http://www.wikidata.org/entity/Q1437","Rajasthan","http://www.wikidata.org/entity/Q668","India"
"184","http://www.wikidata.org/entity/Q66485","Jaipur","Point(75.866666666 26.916666666)","http://www.wikidata.org/entity/Q1134781","Jaipur district","http://www.wikidata.org/entity/Q668","India"
"185","http://www.wikidata.org/entity/Q66485","Jaipur","Point(75.866666666 26.916666666)","http://www.wikidata.org/entity/Q6124144","Jaipur State","http://www.wikidata.org/entity/Q668","India"
"186","http://www.wikidata.org/entity/Q68155","Schwyz","Point(8.658332 47.020546)","http://www.wikidata.org/entity/Q12433","Schwyz","http://www.wikidata.org/entity/Q39","Switzerland"
"187","http://www.wikidata.org/entity/Q68286","Horgen","Point(8.5975 47.260833333)","http://www.wikidata.org/entity/Q660579","Horgen District","http://www.wikidata.org/entity/Q39","Switzerland"
"188","http://www.wikidata.org/entity/Q68481","Fuzhou","Point(119.291666666 26.076944444)","http://www.wikidata.org/entity/Q41705","Fujian","http://www.wikidata.org/entity/Q148","People's Republic of China"
"189","http://www.wikidata.org/entity/Q68481","Fuzhou","Point(119.291666666 26.076944444)","http://www.wikidata.org/entity/Q1192067","Min","http://www.wikidata.org/entity/Q148","People's Republic of China"
"190","http://www.wikidata.org/entity/Q69007","Chur","Point(9.52965 46.85212)","http://www.wikidata.org/entity/Q11925","Grisons","http://www.wikidata.org/entity/Q39","Switzerland"
"191","http://www.wikidata.org/entity/Q69007","Chur","Point(9.52965 46.85212)","http://www.wikidata.org/entity/Q675641","Canton of Raetia","http://www.wikidata.org/entity/Q39","Switzerland"
"192","http://www.wikidata.org/entity/Q69007","Chur","Point(9.52965 46.85212)","http://www.wikidata.org/entity/Q1089955","Raetia Curiensis","http://www.wikidata.org/entity/Q39","Switzerland"
"193","http://www.wikidata.org/entity/Q69345","Neuchâtel","Point(6.930555555 46.990277777)","http://www.wikidata.org/entity/Q12738","Canton of Neuchâtel","http://www.wikidata.org/entity/Q39","Switzerland"
"194","http://www.wikidata.org/entity/Q69345","Neuchâtel","Point(6.930555555 46.990277777)","http://www.wikidata.org/entity/Q511990","Neuchâtel District","http://www.wikidata.org/entity/Q39","Switzerland"
"195","http://www.wikidata.org/entity/Q79281","Washington","Point(-93.682694444 33.774)",NA,NA,"http://www.wikidata.org/entity/Q30","United States of America"
"196","http://www.wikidata.org/entity/Q80484","Patna","Point(85.141388888 25.61)","http://www.wikidata.org/entity/Q1165","Bihar","http://www.wikidata.org/entity/Q668","India"
"197","http://www.wikidata.org/entity/Q80989","Bhopal","Point(77.416666666 23.25)","http://www.wikidata.org/entity/Q1188","Madhya Pradesh","http://www.wikidata.org/entity/Q668","India"
"198","http://www.wikidata.org/entity/Q80989","Bhopal","Point(77.416666666 23.25)","http://www.wikidata.org/entity/Q855044","Bhopal State","http://www.wikidata.org/entity/Q668","India"
"199","http://www.wikidata.org/entity/Q80989","Bhopal","Point(77.416666666 23.25)","http://www.wikidata.org/entity/Q855054","Bhopal division","http://www.wikidata.org/entity/Q668","India"
"200","http://www.wikidata.org/entity/Q80989","Bhopal","Point(77.416666666 23.25)","http://www.wikidata.org/entity/Q1797245","Bhopal district","http://www.wikidata.org/entity/Q668","India"
"201","http://www.wikidata.org/entity/Q3642","Asmara","Point(38.916666666 15.333333333)","http://www.wikidata.org/entity/Q986","Eritrea","http://www.wikidata.org/entity/Q986","Eritrea"
"202","http://www.wikidata.org/entity/Q3659","N'Djamena","Point(15.05 12.11)","http://www.wikidata.org/entity/Q657","Chad","http://www.wikidata.org/entity/Q657","Chad"
"203","http://www.wikidata.org/entity/Q3659","N'Djamena","Point(15.05 12.11)","http://www.wikidata.org/entity/Q3226071","Chari-Baguirmi Prefecture","http://www.wikidata.org/entity/Q657","Chad"
"204","http://www.wikidata.org/entity/Q3674","Niamey","Point(2.111111111 13.508611111)","http://www.wikidata.org/entity/Q1032","Niger","http://www.wikidata.org/entity/Q1032","Niger"
"205","http://www.wikidata.org/entity/Q3688","Nouakchott","Point(-15.974444444 18.078333333)","http://www.wikidata.org/entity/Q1025","Mauritania","http://www.wikidata.org/entity/Q1025","Mauritania"
"206","http://www.wikidata.org/entity/Q3692","Riyadh","Point(46.71 24.65)","http://www.wikidata.org/entity/Q851","Saudi Arabia","http://www.wikidata.org/entity/Q851","Saudi Arabia"
"207","http://www.wikidata.org/entity/Q3692","Riyadh","Point(46.71 24.65)","http://www.wikidata.org/entity/Q1249255","Riyadh Region","http://www.wikidata.org/entity/Q851","Saudi Arabia"
"208","http://www.wikidata.org/entity/Q3703","Bamako","Point(-7.992222222 12.645833333)","http://www.wikidata.org/entity/Q912","Mali","http://www.wikidata.org/entity/Q912","Mali"
"209","http://www.wikidata.org/entity/Q3703","Bamako","Point(-7.992222222 12.645833333)","http://www.wikidata.org/entity/Q508014","French Sudan","http://www.wikidata.org/entity/Q912","Mali"
"210","http://www.wikidata.org/entity/Q3703","Bamako","Point(-7.992222222 12.645833333)","http://www.wikidata.org/entity/Q55747176","Bamako","http://www.wikidata.org/entity/Q912","Mali"
